Topic name,Tags,Partitions,Production,Consumption,Retained bytes,Consumers,Has data contract
EEB.REFERENCE.EELLS.LABLELIST.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.EMDM.FACILITY,,3,,,422.31MB,5,TRUE
EEB.REFERENCE.EMDM.FACILITY.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.FDB.FACILITY,,3,,,251.36MB,,TRUE
EEB.REFERENCE.FDB.FACILITY.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.IMC.INTERNATIONAL.AIRPORT,,3,,,1.35KB,,TRUE
EEB.REFERENCE.IMC.INTERNATIONAL.AIRPORT.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.IMC.INTERNATIONAL.COUNTRY,,3,,,2.22KB,,TRUE
EEB.REFERENCE.IMC.INTERNATIONAL.COUNTRY.ICO,,3,,,1.55KB,,TRUE
EEB.REFERENCE.IMC.INTERNATIONAL.COUNTRY.ICO.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.IMC.INTERNATIONAL.COUNTRY.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.IMC.INTERNATIONAL.CUSTOMS,,3,,,2.43KB,,TRUE
EEB.REFERENCE.IMC.INTERNATIONAL.CUSTOMS.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.IMC.INTERNATIONAL.MARITIMEPORTS,,3,,,0B,,TRUE
EEB.REFERENCE.IMC.INTERNATIONAL.MARITIMEPORTS.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.IMC.INTERNATIONAL.OFFICE,,3,,,24.34KB,,TRUE
EEB.REFERENCE.IMC.INTERNATIONAL.OFFICE.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.IMC.SUPPORTEDCOUNTRIES,,3,,,17.03MB,,TRUE
EEB.REFERENCE.IMC.SUPPORTEDCOUNTRIES.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.IMC.TRADINGPARTNER,,3,,,0B,,TRUE
EEB.REFERENCE.IMC.TRADINGPARTNER.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.PROGREG.CUSTOMER,,6,,,617.27KB,,TRUE
EEB.REFERENCE.PROGREG.CUSTOMER.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.PTR2.DATA,,3,,,0B,,TRUE
EEB.REFERENCE.PTR2.DATA.REJECTED,,3,,,0B,,TRUE
EEB.REFERENCE.SDC.HOLIDAY,,3,,,66.17KB,,TRUE
EEB.REFERENCE.SDC.HOLIDAY.REJECTED,,3,,,6.41KB,,TRUE
EELLS.REFERENCE.LABELLIST.ENTRYFACILITY,,3,,,13.33KB,3,TRUE
EELLS.REFERENCE.LABELLIST.SCHEME,,3,,,56.77MB,3,TRUE
EELLS.REFERENCE.LABELLIST.SITESCHEME,,3,,,3.04MB,3,TRUE
EELLS.REFERENCE.LABELLIST.ZIPCODE,,3,,,26.98MB,3,TRUE
EMAS.MANIFEST.SSF,,18,,,153.28GB,14,TRUE
EMAS.OPERATIONS.SPF,,18,11.96KB/s,23.89KB/s,91.79GB,8,TRUE
EMDM.REFERENCE.FACILITYGOLDENRECORD,,3,,,1.3GB,1,TRUE
ENCMS.MANIFEST.SSF,,3,,,807.12MB,2,TRUE
EPLCMS.OPERATIONS.MED,,3,100B/s,199B/s,119.39MB,1,TRUE
EPLCMS.OPERATIONS.OSW,,3,,,3.95MB,1,TRUE
FDB.REFERENCE.FACILITY,,3,,,467.64MB,1,TRUE
GBS.OPERATIONS.ENROUTEARRIVAL,,3,,,0B,1,TRUE
GBS.OPERATIONS.ENROUTEDEPART,,3,,,1.12MB,2,TRUE
GBS.OPERATIONS.HELDORCANCELLATION,,3,,0B/s,1.15MB,2,TRUE
GBS.OPERATIONS.HOLDORRETURN,,3,,,9.42MB,2,TRUE
GBS.OPERATIONS.INBOUND.INTOOUTCUSTOMS,,5,,,716.84MB,2,TRUE
GBS.OPERATIONS.INTERNATIONAL.ARRIVAL,,5,,,1.39GB,2,TRUE
GBS.OPERATIONS.INTERNATIONAL.DISPATCHREADY,,3,415B/s,1.21KB/s,3.29GB,4,TRUE
GBS.OPERATIONS.INTERNATIONAL.TRANSITARRIVAL,,3,,,0B,,TRUE
GBS.OPERATIONS.OUTBOUND.INTOOUTCUSTOMS,,3,288B/s,1.12KB/s,914.03MB,3,TRUE
GSS.MANIFEST.SSF,,3,0B/s,0B/s,287.52MB,2,TRUE
GSS.OPERATIONS.SPF,,3,0B/s,0B/s,96.29MB,3,TRUE
heartbeats,,6,413B/s,826B/s,97.95MB,,FALSE
icr-enhanced,,10,384.35KB/s,2.26MB/s,141.16GB,10,FALSE
IDS.OPERATIONS.MPE.AFCS,,197,113.02KB/s,204.4KB/s,342.15GB,15,TRUE
IDS.OPERATIONS.MPE.APPS,,197,141.7KB/s,262.56KB/s,400.69GB,15,TRUE
IDS.OPERATIONS.MPE.BCS,,197,2.64MB/s,4.77MB/s,4.85TB,40,TRUE
IDS.OPERATIONS.MPE.FMPCS,,53,40.32KB/s,73.7KB/s,121.93GB,7,TRUE
IDS.OPERATIONS.MPE.FSM,,197,186.77KB/s,342.27KB/s,330.87GB,13,TRUE
IDS.OPERATIONS.MPE.GENMP,,197,48.34KB/s,87.24KB/s,347.49GB,17,TRUE
ilelvp.checkpoints.internal,,6,,,0B,,FALSE
ilelvp.heartbeats,,6,91B/s,91B/s,27.4MB,,FALSE
ilelvp.src.heartbeats,,6,,,0B,,FALSE
IMC.REFERENCE.INTERNATIONAL.AIRPORT,,3,,,1.76KB,1,TRUE
IMC.REFERENCE.INTERNATIONAL.COUNTRY,,3,,,1.41KB,1,TRUE
IMC.REFERENCE.INTERNATIONAL.COUNTRY.ICO,,3,,,1.44KB,1,TRUE
IMC.REFERENCE.INTERNATIONAL.CUSTOMS,,3,,,4.72KB,1,TRUE
IMC.REFERENCE.INTERNATIONAL.MARITIMEPORTS,,3,,,0B,1,TRUE
IMC.REFERENCE.INTERNATIONAL.OFFICE,,3,,,66.31KB,1,TRUE
IMC.REFERENCE.SUPPORTEDCOUNTRIES,,3,,,67.33MB,1,TRUE
IMC.REFERENCE.TRADINGPARTNER,,3,,,0B,1,TRUE
IMDAS.OPERATIONS.ACP.V14,,3,29B/s,58B/s,25.37MB,2,TRUE
IMDAS.OPERATIONS.ACP.V17,,3,,,65.64KB,1,TRUE
IMDAS.OPERATIONS.CBL,,3,1.93KB/s,3.85KB/s,1.85GB,2,TRUE
IMDAS.OPERATIONS.CBT,,3,12B/s,12B/s,734.52MB,1,TRUE
IMDAS.OPERATIONS.CLF,,24,3.73KB/s,5.93KB/s,7.31GB,3,TRUE
IMDAS.OPERATIONS.CR1,,3,30B/s,61B/s,390.77KB,1,TRUE
